ObjectId,indicator_label,indicator_id,indicator_desc,minset_series,minset_series_desc,ref_area,ref_area_desc,iso3,x,y,sdg_region,time_period,sex,sex_desc,age,age_desc,urbanization,urbanization_desc,obs_value,unit_measure,unit_measure_desc,nature,nature_desc,reporting_type,reporting_type_desc,comment_obs,source_detail,source_year,dimensions,is_latest_year
1,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",840,United States of America,USA,-99.13830311,39.5277871,Europe and Northern America,2015,F,Female,Y_GE15,15 years old and over,_T,All areas,7.11,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the American Time Use Survey 2015 to apply ICATUS.,2017,"sex, age, urbanization",
2,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",840,United States of America,USA,-99.13830311,39.5277871,Europe and Northern America,2015,M,Male,Y_GE15,15 years old and over,_T,All areas,6.79,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the American Time Use Survey 2015 to apply ICATUS.,2017,"sex, age, urbanization",
3,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",840,United States of America,USA,-99.13830311,39.5277871,Europe and Northern America,2016,M,Male,Y_GE15,15 years old and over,_T,All areas,7.05,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the American Time Use Survey 2016 to apply ICATUS.,2017,"sex, age, urbanization",1
4,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",840,United States of America,USA,-99.13830311,39.5277871,Europe and Northern America,2016,F,Female,Y_GE15,15 years old and over,_T,All areas,7.07,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work includes time spent on community or volunteer work;",Calculated by UNSD based on available country data from the American Time Use Survey 2016 to apply ICATUS.,2017,"sex, age, urbanization",1
5,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",51,Armenia,ARM,44.93839317,40.29499741,Northern Africa and Western Asia,2004,F,Female,Y_GE15,15 years old and over,_T,All areas,7.5,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Armenian Time Use Pilot Survey to apply ICATUS.,2017,"sex, age, urbanization",
6,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",51,Armenia,ARM,44.93839317,40.29499741,Northern Africa and Western Asia,2004,M,Male,Y_GE15,15 years old and over,_T,All areas,6.4,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work;",Calculated by UNSD based on available country data from the Armenian Time Use Pilot Survey to apply ICATUS.,2017,"sex, age, urbanization",
7,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",208,Denmark,DNK,9.326571283,56.03829721,Europe and Northern America,2009,F,Female,Y20T74,20 to 74 years old,_T,All areas,6,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work; Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Danish Time-Use and Consumption Survey to apply ICATUS.,2017,"sex, age, urbanization",1
8,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",208,Denmark,DNK,9.326571283,56.03829721,Europe and Northern America,2009,M,Male,Y20T74,20 to 74 years old,_T,All areas,6.15,HR,Hours,CA,Country adjusted data,G,Global,"Time on unpaid work does not include time spent on community or volunteer work; Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Danish Time-Use and Consumption Survey to apply ICATUS.,2017,"sex, age, urbanization",1
9,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,2003,F,Female,Y_GE12,12 years old and over,_T,All areas,5.72,HR,Hours,CA,Country adjusted data,G,Global,"Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Dutch Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
10,I.2,Ic62a19e8,"Average number of hours spent on total work (total work burden), by sex",Sad2e1d29,"Average number of hours spent on total work combined (total work burden), by sex",528,Netherlands,NLD,5.331480568,51.86728884,Europe and Northern America,2003,M,Male,Y_GE12,12 years old and over,_T,All areas,5.62,HR,Hours,CA,Country adjusted data,G,Global,"Paid work does not include commuting to/from work;",Calculated by UNSD based on available country data from the Dutch Time Use Survey to apply ICATUS.,2017,"sex, age, urbanization",1
