ObjectId,indicator_label,indicator_id,indicator_desc,minset_series,minset_series_desc,ref_area,ref_area_desc,iso3,x,y,sdg_region,time_period,sex,sex_desc,obs_value,unit_measure,unit_measure_desc,nature,nature_desc,reporting_type,reporting_type_desc,comment_obs,source_detail,source_year,dimensions,is_latest_year
1,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,784,United Arab Emirates,ARE,53.98279159,23.43322219,Northern Africa and Western Asia,2005,F,Female,10.17,PT,Percent,C,Country data,G,Global,Data reference period: December,PC - Population Census,2021,sex,
2,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,792,Turkey,TUR,35.42890329,38.9899684,Northern Africa and Western Asia,2009,F,Female,10.21,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2021,sex,
3,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,760,Syrian Arab Republic,SYR,38.50466565,35.01676176,Northern Africa and Western Asia,2007,F,Female,10.22,PT,Percent,C,Country data,G,Global,,LFS - Labour Force Survey,2021,sex,
4,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2005,F,Female,10.24,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
5,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2007,F,Female,10.29,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,2021,sex,
6,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,15,Northern Africa,,,,Northern Africa and Western Asia,2006,F,Female,10.33,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
7,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,818,Egypt,EGY,29.77468534,26.57438204,Northern Africa and Western Asia,2005,F,Female,10.42,PT,Percent,C,Country data,G,Global,Data reference period: Incomplete year | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 64 years old,LFS - Labour Force Sample Survey,2021,sex,
8,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,410,Republic of Korea,KOR,127.8610254,36.45201023,Eastern and South-Eastern Asia,2015,F,Female,10.45,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,LFS - Economically Active Population Survey,2021,sex,
9,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2010,F,Female,10.56,PT,Percent,C,Country data,G,Global,,LFS - Labour Force Survey,2021,sex,
10,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,48,Bahrain,BHR,50.5490754,26.04407747,Northern Africa and Western Asia,2004,F,Female,10.59,PT,Percent,C,Country data,G,Global,Data reference period: November | Reference group coverage: Total employment,LFS - Labour Force Survey,2021,sex,1
11,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,2013,F,Female,10.61,PT,Percent,C,Country data,G,Global,Data reference period: September,LFS - Household Employment Survey,2021,sex,
12,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2001,F,Female,10.61,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,2021,sex,
13,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,586,Pakistan,PAK,68.80479684,29.36491634,Central and Southern Asia,2004,F,Female,2.1,PT,Percent,C,Country data,G,Global,Data reference period: January | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old,LFS - Labour Force Survey,2021,sex,
14,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,15,Northern Africa,,,,Northern Africa and Western Asia,2007,F,Female,10.61,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
15,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2000,F,Female,10.61,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
16,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,275,State of Palestine,PSE,35.25694122,31.94347933,Northern Africa and Western Asia,2011,F,Female,10.65,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,2021,sex,
17,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,392,Japan,JPN,139.2716103,36.6554539,Eastern and South-Eastern Asia,2009,F,Female,10.71,PT,Percent,C,Country data,G,Global,,LFS - Labour Force Survey,2021,sex,
18,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,50,Bangladesh,BGD,89.17660788,22.86961622,Central and Southern Asia,2017,F,Female,10.74,PT,Percent,C,Country data,G,Global,Repository: ILO-STATISTICS - Micro data processing,LFS - Labour Force Survey,2021,sex,1
19,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2001,F,Female,10.74,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
20,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,504,Morocco,MAR,-6.281942841,31.8440131,Northern Africa and Western Asia,2004,F,Female,10.76,PT,Percent,C,Country data,G,Global,,LFS - National Employment Survey,2021,sex,
21,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,145,Western Asia,,,,Northern Africa and Western Asia,2005,F,Female,10.8,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
22,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,818,Egypt,EGY,29.77468534,26.57438204,Northern Africa and Western Asia,2006,F,Female,10.84,PT,Percent,C,Country data,G,Global,Data reference period: Incomplete year | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 64 years old,LFS - Labour Force Sample Survey,2021,sex,
23,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2015,F,Female,10.97,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
24,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,792,Turkey,TUR,35.42890329,38.9899684,Northern Africa and Western Asia,2011,F,Female,11.02,PT,Percent,C,Country data,G,Global,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2021,sex,
25,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,145,Western Asia,,,,Northern Africa and Western Asia,2004,F,Female,11.03,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
26,IV.3,I6b4d10a8,Proportion of women in managerial positions,S6b4d10a8,Proportion of women in managerial positions,747,Northern Africa and Western Asia,,,,Northern Africa and Western Asia,2014,F,Female,11.05,PT,Percent,M,Modeled data,G,Global,,"ILO modelled estimates, November 2020, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",2021,sex,
